08
H2O16c_ppm_se,H2O18c_ppm_se,HODc_ppm_se,
1.22771e+04,2.41598e+01,3.31637e+00,
1.22456e+04,2.41139e+01,3.30940e+00,
1.22526e+04,2.41149e+01,3.30676e+00,
1.22420e+04,2.41107e+01,3.27916e+00,
1.22271e+04,2.40595e+01,3.31034e+00,
1.22558e+04,2.41171e+01,3.29454e+00,
1.22579e+04,2.41372e+01,3.28367e+00,
1.22683e+04,2.41238e+01,3.31350e+00,
1.22426e+04,2.41047e+01,3.30174e+00,
1.22374e+04,2.40979e+01,3.32605e+00,
1.22665e+04,2.41241e+01,3.30810e+00,
1.22496e+04,2.41204e+01,3.29221e+00,
1.22794e+04,2.41416e+01,3.31886e+00,
1.22619e+04,2.41206e+01,3.30043e+00,
1.22555e+04,2.40964e+01,3.30603e+00,
